id,severity,still_present,audit_valid,effort,recommended_action,current_locus
S06,Minor,PARTIALLY,OPINION,small,"[text-only] Optional restrained-language pass: trim redundant 'clearly/precisely/in fact/interesting', replace 'less versed reader' with 'readers less familiar with VMS' and 'battery of numerical tests' with 'numerical study'. Keep mathematically load-bearing uses.","article.tex intensifiers still present: 'clearly' x3, 'precisely' x5, 'in fact' x4, 'interesting' x2 (l.1019 'It is interesting to examine...', l.1662 'we think it is interesting'), 'less versed reade"
S07,Minor,YES,CONFIRMED,trivial,[text-only] Reword to e.g. 'Solid volume fraction $1-\alpha$ used in the manufactured tests.',article.tex l.1124 \caption[bump_plateau]{Porous matrix's volume fraction field $1-\alpha$ used for manufactured tests.}
S08,Minor,PARTIALLY,PARTLY_VALID,trivial,"[text-only] Reword the six captions from 'theoretical convergence rates in parentheses' to 'nominal interpolation (best-approximation) orders in parentheses', consistent with the l.1165 amendment already in the text.","article.tex table captions l.1165, 1231, 1297, 1363, 1446, 1496 all read '...(theoretical convergence rates in parentheses)'. Amendment at l.1165 now defines them: 'The parenthetical rate is $k_v+1$ f"
V01,Moderate,YES,PARTLY_VALID,trivial,[text-only] Split A.1 into the localization assumption ($\mathcal{D}_K\widetilde{U}=0$ on $\partial K$) and a separate note on how essential data are represented in $\mathcal{V}_{h0}$; state in A.2 precisely which quantities (values / normal derivatives / flux) are neglected at interelement faces. Cosmetic.,"article.tex l.537 (Assumption A.1): ""$\mathcal{D}_K \widetilde{U} = 0$; as a consequence, $\widetilde{\mathcal{X}} = \widetilde{\mathcal{X}}_0$ and thus we assume that the finite element functions are"
V02,Moderate,YES,OPINION,trivial,"[text-only] Optional softening: replace 'must provide' with 'is what encodes the effect of the unresolved scales, whose subsequent approximation is designed to recover discrete stability'; qualify 'all VMS-stabilized methods' as 'the residual-based VMS methods considered here'. Not required for correctness.","article.tex l.518: ""the second term must \amend{provide} the desired stability that the first term alone (i.e., the Galerkin method) lacks ... all VMS-stabilized methods are characterized by the way i"
V03,Moderate,YES,PARTLY_VALID,trivial,"[text-only] Rephrase to: 'The ASGS method, in which no projection is applied to the subscale residual ($\widetilde{\Pi}=\mathcal{I}$), so the full elementwise strong residual is used directly.' Trivial.","article.tex l.572: ""The ASGS method, where $\widetilde{\mathcal{X}}$ is taken as the space of finite element residuals, and thus $\widetilde{\Pi} = \mathcal{I}$."""
V04,Major,PARTIALLY,PARTLY_VALID,small,"[text-only] Optional upgrade of the already-present footnote into the main text: introduce $\mathcal{X}_h^{\mathrm{proj}}$ (unconstrained-DOF FE space) and use it in eq:OSGSProjection / eq:NonlinearResidualProjection, noting the ASGS analysis of §5 does not cover this OSGS boundary choice. The essential disclosure is done.","article.tex l.576-579 (formal): ""$\widetilde{\Pi} = \mathcal{I} - \Pi_{\boldsymbol{\tau}h}$, where $\Pi_{\boldsymbol{\tau}h}$ is the projection onto $\mathcal{X}_{h0}$""; and the AMENDED footnote at l."
V05,Moderate,PARTIALLY,PARTLY_VALID,trivial,[text-only] Add one explicit sentence before eq:OSGSProblem: 'From here on the scheme uses the $L^2$ projection eq:L2InnerProduct; the $\boldsymbol{\tau}$-weighted form served only as motivation.' Trivial.,"article.tex l.580-587: defines $(\bullet,\bullet)_{\boldsymbol{\tau}} \coloneqq \sum_K\langle\boldsymbol{\tau}_K\bullet,\bullet\rangle_K$ then ""In practice, it is often convenient to make the further "
V06,Major,PARTIALLY,PARTLY_VALID,small,"[text-only] Add a sentence at the first use (near l.542/559) stating that $\boldsymbol{u}$ in $\boldsymbol{\tau}_K,\mathcal{R}_{\boldsymbol{u}},\mathcal{L}_{\boldsymbol{u}}$ is the total velocity $u_h+\tilde u$ of $U$, and confirm in the algorithm whether the lagged $\boldsymbol{u}^{m-1}$ includes the subscale. Amendments already carry most of this.","article.tex l.559: ""eq:simplified_weak_form_subscales is nonlinear, due to the dependence of both $\boldsymbol{\tau}_K$ and $\mathcal{R} U_h|_K$ on the SGS""; l.542: ""the \emph{total} solution $U = U_h"
V07,Major,PARTIALLY,ALREADY_ADDRESSED,trivial,[done] Concern substantively resolved by the amended l.638. Optional: cross-reference the specific experiments' projected residuals in a table caption. No math rework needed.,"article.tex l.638 (heavily amended): ""in the implementation of \cref{alg:StationarySystem} we do not include the reaction terms in the calculation of the orthogonal projection \emph{when $\boldsymbol{"
V08,Major,PARTIALLY,PARTLY_VALID,small,"[text-only] Keep the equivalence claim (it is justified by the common $\mathsf{F}=\mathsf{0}$ root). Add a short solver paragraph or footnote reporting: the preconditioner used, the globalization (Armijo line search) and its constants source, linear/nonlinear tolerances and the mass/projection stopping norms, and ideally one representative Picard-vs-Newton FME comparison to substantiate reproducibility. No rerun strictly required for correctness, though a single confirmatory comparison run is cheap.","article.tex l.1094 (amended): ""the discrete nonlinear systems were solved not with the staggered fixed-point iteration of \cref{alg:StationarySystem} but with an accelerated, Newton-based variant of i"
